name,cleanname,state,first.year.bachelor,masters.deg.highest,teacher.day,evaluations,evaluations.updated,tenure,tenure.updated,recall
Florida - Lee County School District,"Lee County, Fla.",Florida,38192,63669,8,yes,yes,yes,yes,yes
Florida - Miami-Dade County School District,"Miami-Dade County, Fla.",Florida,38500,71325,7.333333333,yes,yes,yes,yes,yes
Florida - Orange County School District,"Orange County, Fla.",Florida,37000,65596,7.5,yes,yes,yes,yes,yes
Florida - Palm Beach County School District,"Palm Beach County, Fla.",Florida,36822,69200,7.5,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Florida - Pinellas County School District,"Pinellas County, Fla.",Florida,36925,62090,7.5,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Florida - Polk County School District,"Polk County, Fla.",Florida,35000,57856,7.75,yes,yes,no,no,yes
Georgia - Atlanta Public Schools,"Atlanta, Ga.",Georgia,44312,73114,7.5,follows state policy,no,follows state policy,no,yes
Georgia - Cobb County School District,"Cobb County, Ga.",Georgia,38958,66318,8,follows state policy,no,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey
Georgia - Dekalb County School System,"Dekalb County School System, Ga.",Georgia,40963,67842,8,follows state policy,no,not in NCTQ survey,not in NCTQ survey,no
Georgia - Fulton County Schools,"Fulton County, Ga.",Georgia,39132,69456,8,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,no
Georgia - Gwinnett County Public Schools,"Gwinnett County, Ga.",Georgia,38009,69620,8,follows state policy,no,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey
Hawaii - Hawaii Department of Education,"Hawaii Dept. of Education, Hawaii",Hawaii,42509,65401,7,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Idaho - Meridian Joint District,"Meridian Joint District, Idaho",Idaho,31750,46912,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey
Illinois - Chicago Public Schools,"Chicago, Ill.",Illinois,49159,86215,7.5,yes,yes,not in NCTQ survey,not in NCTQ survey,no
Illinois - Elgin School District U-46,"Elgin  U-46, Ill.",Illinois,39349,83903,not in NCTQ survey,no,no,not in NCTQ survey,not in NCTQ survey,yes
Indiana - Indianapolis Public Schools,"Indianapolis, Ind.",Indiana,35684,66692,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey
Iowa - Des Moines Public Schools,"Des Moines, Iowa",Iowa,36834,60745,7.75,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Kansas - Wichita Public Schools,"Wichita, Kan.",Kansas,37998,53633,7.166666667,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Kentucky - Jefferson County Public Schools,"Jefferson County, Ky.",Kentucky,39720,73215,7,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Louisiana - Caddo Parish Public Schools,"Caddo Parish, La.",Louisiana,40414,56452,not in NCTQ survey,yes,yes,no,no,yes
Louisiana - East Baton Rouge Parish School System,"East Baton Rouge Parish School System, La.",Louisiana,43536,65416,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Louisiana - Jefferson Parish Public Schools,"Jefferson Parish, La.",Louisiana,40949,56549,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Louisiana - Louisiana Recovery School District,"Louisiana Recovery, La.",Louisiana,43294,59294,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,no
Louisiana - New Orleans Public Schools,"New Orleans, La.",Louisiana,39813,58013,7,follows state policy,yes,not in NCTQ survey,not in NCTQ survey,yes
"Maine - Portland Public Schools, ME","Portland, Maine",Maine,33669,62208,6.5,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Maryland - Anne Arundel County Public Schools,"Anne Arundel County, Md.",Maryland,43996,83041,7.916666667,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Maryland - Baltimore City Public School System,"Baltimore, Md.",Maryland,46774,82770,7.083333333,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Maryland - Baltimore County Public Schools,"Baltimore County, Md.",Maryland,43000,80730,7,no,no,not in NCTQ survey,not in NCTQ survey,yes
Maryland - Montgomery County Public Schools,"Montgomery County, Md.",Maryland,46410,96966,8,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Maryland - Prince George's County Public Schools,"Prince George's County, Md.",Maryland,44799,82873,7.5,yes,yes,yes,yes,yes
Massachusetts - Boston Public Schools,"Boston, Mass.",Massachusetts,46754,82178,6.666666667,no,no,not in NCTQ survey,not in NCTQ survey,yes
Massachusetts - Springfield Public Schools,"Springfield, Mass.",Massachusetts,37087,61000,7.25,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Michigan - Detroit Public Schools,"Detroit, Mich.",Michigan,39647,72516,7.166666667,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Minnesota - Anoka-Hennepin Independent School District,"Anoka-Hennepin Independent, Minn.",Minnesota,37231,66033,7.666666667,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Minnesota - Minneapolis Public Schools,"Minneapolis, Minn.",Minnesota,37087,NA,7.75,yes,yes,yes,yes,yes
Minnesota - St. Paul Public Schools,"St. Paul, Minn.",Minnesota,40366,75864,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Mississippi - Desoto County School District,"Desoto County, Miss.",Mississippi,32281,59984,not in NCTQ survey,follows state policy,no,follows state policy,no,not in NCTQ survey
Mississippi - Jackson Public Schools,"Jackson, Miss.",Mississippi,32372,62173,not in NCTQ survey,yes,yes,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey
"Missouri - Kansas City, Missouri School District","Kansas City, Mo.",Missouri,32928,61776,8,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Missouri - St. Louis Public School District,"St. Louis, Mo.",Missouri,38250,71594,7.366666667,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Montana - Billings Public Schools,"Billings, Mont.",Montana,35391,60688,8,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Nebraska - Omaha Public Schools,"Omaha, Neb.",Nebraska,33460,67221,7.833333333,no,no,not in NCTQ survey,not in NCTQ survey,yes
Nevada - Clark County School District,"Clark County, Nev.",Nevada,34688,51895,7.183333333,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
New Hampshire - Manchester School District,"Manchester, N.H.",New Hampshire,33904,65736,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
New Jersey - Newark School District,"Newark, N.J.",New Jersey,50000,99932,6.75,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
New Mexico - Albuquerque Public Schools,"Albuquerque, N.M.",New Mexico,30000,68759,7,follows state policy,no,not in NCTQ survey,not in NCTQ survey,yes
New York - Buffalo City School District,"Buffalo, N.Y.",New York,32897,74657,6.833333333,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey
New York - New York City Public Schools,"New York City, N.Y.",New York,45530,94154,6.833333333,not in NCTQ survey,not in NCTQ survey,yes,yes,yes
New York - Rochester City School District,"Rochester, N.Y.",New York,41825,90910,not in NCTQ survey,yes,yes,yes,yes,yes
North Carolina - Charlotte-Mecklenburg Schools,"Charlotte-Mecklenburg, N.C.",North Carolina,34386,67349,not in NCTQ survey,follows state policy,no,not in NCTQ survey,not in NCTQ survey,no
North Carolina - Guilford County Schools,"Guilford County, N.C.",North Carolina,34730,64020,7.5,follows state policy,no,not in NCTQ survey,not in NCTQ survey,no
North Carolina - Wake County Schools,"Wake County, N.C.",North Carolina,34462,67493,not in NCTQ survey,follows state policy,no,not in NCTQ survey,not in NCTQ survey,no
North Dakota - Fargo Public Schools,"Fargo, N.D.",North Dakota,37245,58218,7.5,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Ohio - Cincinnati City School District,"Cincinnati, Ohio",Ohio,39262,77377,7,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Ohio - Cleveland Metropolitan District,"Cleveland, Ohio",Ohio,37412,77558,6.666666667,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Ohio - Columbus Public Schools,"Columbus, Ohio",Ohio,42333,86001,7.5,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Ohio - Dayton School District,"Dayton City, Ohio",Ohio,33936,62646,7.25,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Ohio - Toledo Public Schools,"Toledo, Ohio",Ohio,34086,64303,7,not in NCTQ survey,not in NCTQ survey,no,no,yes
Oklahoma - Oklahoma City Public Schools,"Oklahoma City, Okla.",Oklahoma,32325,49375,7.5,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Oklahoma - Tulsa Public Schools,"Tulsa, Okla.",Oklahoma,32900,49436,7.833333333,yes,yes,yes,yes,yes
"Oregon - Portland Public Schools, OR","Portland, Ore.",Oregon,35886,64199,7.5,no,no,not in NCTQ survey,not in NCTQ survey,yes
Pennsylvania - Philadelphia School District,"Philadelphia, Pa.",Pennsylvania,45360,76462,7.066666667,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Pennsylvania - Pittsburgh Public Schools,"Pittsburgh, Pa.",Pennsylvania,38120,82800,7.266666667,yes,yes,yes,yes,yes
Rhode Island - Providence Public School District,"Providence, R.I.",Rhode Island,36236,71124,6.666666667,yes,yes,follows state policy,yes,yes
South Carolina - Charleston County School District,"Charleston County, S.C.",South Carolina,33740,57185,not in NCTQ survey,follows state policy,no,follows state policy,no,yes
South Carolina - Greenville County Schools,"Greenville County, S.C.",South Carolina,32595,57592,not in NCTQ survey,follows state policy,no,not in NCTQ survey,not in NCTQ survey,yes
South Dakota - Sioux Falls School District,"Sioux Falls, S.D.",South Dakota,30505,47917,8,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Tennessee - Memphis City Schools,"Memphis, Tenn.",Tennessee,41310,62219,7.25,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Tennessee - Metropolitan Nashville Public Schools,"Metropolitan Nashville, Tenn.",Tennessee,34474,57187,7.5,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Texas - Aldine Independent School District,"Aldine Independent, Texas",Texas,45114,71329,8,follows state policy,no,not in NCTQ survey,not in NCTQ survey,yes
Texas - Austin Independent School District,"Austin Independent, Texas",Texas,43286,64833,not in NCTQ survey,follows state policy,no,follows state policy,no,not in NCTQ survey
Texas - Brownsville Independent School District,"Brownsville Independent, Texas",Texas,40350,61452,7.75,follows state policy,no,follows state policy,no,not in NCTQ survey
Texas - Cypress-Fairbanks Independent School District,"Cypress-Fairbanks Independent, Texas",Texas,45250,69111,8,yes,yes,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey
Texas - Dallas Independent School District,"Dallas Independent, Texas",Texas,45100,70196,8.5,follows state policy,no,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey
Texas - Fort Worth Independent School District,"Fort Worth Independent, Texas",Texas,45405,71767,not in NCTQ survey,follows state policy,no,not in NCTQ survey,not in NCTQ survey,yes
Texas - Houston Independent School District,"Houston Independent, Texas",Texas,45887,70941,not in NCTQ survey,yes,yes,yes,yes,no
Texas - Northside Independent School District,"Northside Independent, Texas",Texas,46675,75793,not in NCTQ survey,follows state policy,no,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey
Utah - Granite School District,"Granite, Utah",Utah,33004,57272,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Vermont - Burlington School District,"Burlington, Vt.",Vermont,38740,66635,7.75,no,no,no,no,yes
Virginia - Fairfax County Public Schools,"Fairfax County, Va.",Virginia,45161,87487,7.5,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Virginia - Norfolk Public Schools,"Norfolk, Va.",Virginia,38012,64642,not in NCTQ survey,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Virginia - Prince William County Public Schools,"Prince William County, Va.",Virginia,43612,96377,7,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Virginia - Richmond City Public Schools,"Richmond, Va.",Virginia,39712,68251,7,not in NCTQ survey,not in NCTQ survey,no,no,yes
Virginia - Virginia Beach City Public Schools,"Virginia Beach, Va.",Virginia,38597,68414,7.333333333,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey
Washington - Seattle Public Schools,"Seattle, Wash.",Washington,42086,60710,7.5,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Washington - Spokane School District,"Spokane, Wash.",Washington,33401,57970,7.5,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
West Virginia - Kanawha County Schools,"Kanawha County, W.Va.",West Virginia,33406,58284,not in NCTQ survey,follows state policy,yes,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey
Wisconsin - Milwaukee Public Schools,"Milwaukee, Wis.",Wisconsin,37721,69832,7.55,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Wyoming - Laramie School District One,"Laramie School District One, Wyo.",Wyoming,46160,69077,7.5,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
