county	totalpop	pctwhite	pctblack	pctamind	pctasian	pctother	pcthispanic	year	fips
Napa	136484	0.563926907	0.017877553	0.003985815	0.068132528	0.023621816	0.322455379	2010	6055
Nevada	98764	0.865467174	0.003452675	0.008029241	0.012352679	0.025252116	0.085446114	2010	6057
Orange	3010232	0.441327778	0.014616814	0.002064957	0.179665222	0.025815286	0.336509943	2010	6059
Placer	348432	0.761393902	0.012705492	0.005969601	0.059294209	0.032319075	0.128317721	2010	6061
Plumas	20007	0.850452342	0.009046834	0.022991953	0.007247463	0.030039486	0.080221922	2010	6063
Riverside	2189641	0.396899766	0.059746324	0.004992143	0.060178815	0.023653192	0.454529761	2010	6065
Sacramento	1418788	0.484333107	0.098639825	0.005550512	0.149453618	0.046207749	0.215815189	2010	6067
San Benito	55269	0.382746205	0.006423131	0.004179558	0.024661202	0.017731459	0.564258445	2010	6069
San Bernardino	2035210	0.332937633	0.083873409	0.004187774	0.063788503	0.023300298	0.491912383	2010	6071
San Diego	3095313	0.484618841	0.047361931	0.004554628	0.11034813	0.032842559	0.320273911	2010	6073
San Francisco	805235	0.419071451	0.058096084	0.002270145	0.333850367	0.035484051	0.151227902	2010	6075
San Joaquin	685306	0.358845538	0.070829673	0.004638804	0.142702676	0.034337945	0.388645364	2010	6077
San Luis Obispo	269637	0.710941006	0.019018161	0.005069779	0.031345846	0.026038711	0.207586496	2010	6079
San Mateo	718451	0.422588318	0.026115908	0.001565869	0.258636984	0.037071422	0.254021499	2010	6081
Santa Barbara	423895	0.479179986	0.017084419	0.004347775	0.047820805	0.022953798	0.428613218	2010	6083
Santa Clara	1781642	0.351871476	0.023759543	0.002268694	0.320893872	0.032235432	0.268970983	2010	6085
Santa Cruz	262382	0.596066041	0.00878109	0.00372739	0.041733046	0.029197887	0.320494546	2010	6087
Shasta	177223	0.824069111	0.008114071	0.023484536	0.025555374	0.034826179	0.083950729	2010	6089
Sierra	3240	0.88117284	0.00154321	0.012654321	0.004320988	0.017283951	0.083024691	2010	6091
Siskiyou	44900	0.794721604	0.012293987	0.034498886	0.013296214	0.042405345	0.102783964	2010	6093
Solano	413344	0.40796044	0.142116494	0.004509561	0.150649338	0.054392951	0.240371216	2010	6095
Sonoma	483878	0.661379521	0.013989063	0.007406826	0.039702156	0.028637384	0.24888505	2010	6097
Stanislaus	514453	0.467337152	0.025395906	0.005578741	0.053898024	0.028591533	0.419198644	2010	6099
Sutter	94737	0.504364715	0.018081637	0.009763873	0.144589759	0.035551052	0.287648965	2010	6101
Tehama	63463	0.718576178	0.005499267	0.018987442	0.01085672	0.026960591	0.219119802	2010	6103
Trinity	13786	0.835485275	0.003264181	0.040475845	0.007906572	0.043304802	0.069563325	2010	6105
Tulare	442179	0.325512971	0.012431617	0.007515056	0.032959503	0.015344465	0.606236388	2010	6107
Tuolumne	55365	0.818657997	0.020121015	0.014991421	0.010692676	0.028646257	0.106890635	2010	6109
Ventura	823318	0.486893278	0.015889365	0.002901673	0.067351862	0.024243366	0.402720456	2010	6111
Yolo	200849	0.499081399	0.023659565	0.005466793	0.131725824	0.036589677	0.303476741	2010	6113
Yuba	72155	0.58784561	0.029408911	0.017462407	0.069018086	0.046095212	0.250169773	2010	6115
Alameda	1443741	0.409419002	0.146233985	0.003675174	0.208576885	0.042372559	0.189722395	2000	6001
Alpine	1208	0.717715232	0.005794702	0.155629139	0.004139073	0.038907285	0.07781457	2000	6003
Amador	35100	0.823931624	0.038404558	0.015327635	0.01011396	0.023162393	0.089059829	2000	6005
Butte	203171	0.800133877	0.013284376	0.016217866	0.034202716	0.031131411	0.105029753	2000	6007
Calaveras	40554	0.874512995	0.007397544	0.014967697	0.008827736	0.02611333	0.068180697	2000	6009
Colusa	18804	0.479578813	0.004679855	0.016804935	0.01526271	0.0182408	0.465432887	2000	6011
Contra Costa	948816	0.579046939	0.091536188	0.003844792	0.111547444	0.037197939	0.176826698	2000	6013
Del Norte	27507	0.701421456	0.042425564	0.057912531	0.023157742	0.035881776	0.139200931	2000	6015
El Dorado	156299	0.849173699	0.004766505	0.008138248	0.02187474	0.022853633	0.093193175	2000	6017
Fresno	799407	0.397196922	0.05040111	0.00778452	0.079697826	0.025048567	0.439871054	2000	6019
Glenn	26453	0.625562318	0.004422939	0.016595471	0.033455563	0.023589007	0.296374702	2000	6021
Humboldt	126518	0.81593133	0.008180654	0.05313078	0.017712895	0.040152389	0.064891952	2000	6023
Imperial	142361	0.202077816	0.036161589	0.012194351	0.017708502	0.009630447	0.722227295	2000	6025
Inyo	17945	0.744051268	0.001114517	0.093507941	0.009640568	0.02591251	0.125773196	2000	6027
Kern	661645	0.494509896	0.057198347	0.008894498	0.033106878	0.022344309	0.383946074	2000	6029
Kings	129461	0.415700481	0.080472111	0.010072531	0.031484385	0.02614687	0.43612362	2000	6031
Lake	58309	0.804901473	0.020734363	0.024232966	0.009432506	0.026839767	0.113858924	2000	6033
Lassen	33828	0.706308384	0.087974459	0.028349296	0.011174175	0.027817193	0.138376493	2000	6035
Los Angeles	9519338	0.310905443	0.094699022	0.002690208	0.120579183	0.025484545	0.445641598	2000	6037
Madera	123109	0.466180377	0.038258779	0.013760164	0.013321528	0.025660187	0.442818965	2000	6039
Marin	247289	0.785534334	0.028088593	0.002547626	0.046132258	0.027093805	0.110603383	2000	6041
Mariposa	17130	0.848744892	0.00647986	0.030939872	0.007997665	0.028254524	0.077583187	2000	6043
Mendocino	86265	0.74863502	0.00545992	0.039853938	0.012902104	0.028389266	0.164759752	2000	6045
Merced	210554	0.406475298	0.036066757	0.005295554	0.068020555	0.030737958	0.453403877	2000	6047
Modoc	9449	0.810985289	0.006244047	0.035982644	0.006879035	0.024764525	0.11514446	2000	6049
Mono	12853	0.765346612	0.004123551	0.02077336	0.011670427	0.021162375	0.176923675	2000	6051
Monterey	401762	0.403335806	0.035058069	0.004435462	0.06159368	0.027715414	0.46786157	2000	6053
Napa	124279	0.69144425	0.012286871	0.005165796	0.031340774	0.023069062	0.236693247	2000	6055
Nevada	92033	0.902915259	0.002542566	0.007203938	0.008388296	0.022437604	0.056512338	2000	6057
Orange	2846289	0.512589551	0.014980559	0.00295613	0.137686651	0.024165852	0.307621257	2000	6059
Placer	248399	0.834286772	0.007632881	0.006791493	0.030080636	0.024512981	0.096695236	2000	6061
Plumas	20824	0.887101421	0.006242797	0.021321552	0.006050711	0.022762197	0.056521322	2000	6063
Riverside	1545387	0.510442368	0.05979279	0.006558228	0.037843595	0.023269252	0.362093767	2000	6065
Sacramento	1223499	0.577568923	0.09650437	0.007413165	0.113926534	0.044480625	0.160106383	2000	6067
San Benito	53234	0.460476387	0.008922869	0.005241011	0.023312169	0.022729834	0.479317729	2000	6069
San Bernardino	1709434	0.440041558	0.087865925	0.005735232	0.048285573	0.026487715	0.391583998	2000	6071
San Diego	2813833	0.550435296	0.05490269	0.00542072	0.091498323	0.030859685	0.266883287	2000	6073
San Francisco	776733	0.436326254	0.075690102	0.002600636	0.311271698	0.033131076	0.140980234	2000	6075
San Joaquin	563598	0.473745471	0.064121945	0.006265104	0.113112538	0.037443355	0.305311587	2000	6077
San Luis Obispo	246681	0.761469266	0.019227261	0.00604019	0.026629534	0.023686461	0.162947288	2000	6079
San Mateo	707161	0.498267014	0.033624592	0.002186207	0.21130266	0.035846151	0.218773377	2000	6081
Santa Barbara	399347	0.568635798	0.020996777	0.005346228	0.040821641	0.021970867	0.342228688	2000	6083
Santa Clara	1682585	0.442344369	0.026432543	0.003132085	0.256635475	0.031704788	0.239750741	2000	6085
Santa Cruz	255602	0.655174842	0.008450638	0.004616552	0.034330717	0.02948725	0.26794	2000	6087
Shasta	163256	0.864268388	0.007221787	0.02465453	0.019405106	0.029334297	0.055115892	2000	6089
Sierra	3555	0.902953586	0.001687764	0.015752461	0.002250352	0.017440225	0.059915612	2000	6091
Siskiyou	44301	0.833164037	0.012550507	0.03622943	0.012911672	0.029435001	0.075709352	2000	6093
Solano	394542	0.492424127	0.145984458	0.005560878	0.132452312	0.04717622	0.176402005	2000	6095
Sonoma	458614	0.745040492	0.013335834	0.007581539	0.031865578	0.02880418	0.173372379	2000	6097
Stanislaus	446997	0.572713016	0.023760786	0.007791999	0.043821323	0.034525959	0.317386918	2000	6099
Sutter	78930	0.602204485	0.017965286	0.011909287	0.112922843	0.032915241	0.222082858	2000	6101
Tehama	56039	0.784667821	0.004978676	0.017987473	0.008404861	0.025660701	0.158300469	2000	6103
Trinity	13022	0.865535248	0.004146828	0.044770389	0.005605898	0.040239595	0.039702043	2000	6105
Tulare	368021	0.418226134	0.013917684	0.008181598	0.031829705	0.020140155	0.507704723	2000	6107
Tuolumne	54501	0.850938515	0.020825306	0.01585292	0.008403516	0.022421607	0.081558137	2000	6109
Ventura	753197	0.567512882	0.017910321	0.00421802	0.054210253	0.021927862	0.334220662	2000	6111
Yolo	168660	0.580706747	0.018575833	0.006907388	0.09980434	0.034863038	0.259142654	2000	6113
Yuba	60219	0.652950066	0.029807868	0.021687507	0.076022518	0.046015377	0.173516664	2000	6115
Alameda	1279182	0.531603009	0.174230876	0.005286972	0.144477486	0.002275673	0.142125984	1990	6001
Alpine	1113	0.693620845	0.004492363	0.230907457	0.004492363	0	0.066486972	1990	6003
Amador	30039	0.836545824	0.055594394	0.015346716	0.006658011	0.001964113	0.083890942	1990	6005
Butte	182120	0.868888645	0.012288601	0.016176148	0.027240281	0.000697342	0.074708983	1990	6007
Calaveras	31998	0.915307207	0.005625352	0.018938684	0.005844115	0.000718795	0.053565848	1990	6009
Colusa	16275	0.620890937	0.004976959	0.018556068	0.019723502	0.002580645	0.333271889	1990	6011
Contra Costa	803732	0.696931315	0.090576212	0.005525474	0.091834094	0.001560222	0.113572683	1990	6013
Del Norte	23460	0.780136402	0.036359761	0.060315431	0.018456948	0.001832907	0.102898551	1990	6015
El Dorado	125995	0.897281638	0.00459542	0.009555935	0.018397555	0.000507957	0.069661495	1990	6017
Fresno	667490	0.507266026	0.046908568	0.007595619	0.081064885	0.002651725	0.354513176	1990	6019
Glenn	24798	0.744455198	0.005282684	0.018025647	0.031171869	0.001129123	0.199935479	1990	6021
Humboldt	119118	0.878716903	0.007840964	0.051948488	0.018930808	0.000679998	0.041882839	1990	6023
Imperial	109303	0.29040374	0.020786255	0.014299699	0.014930972	0.001454672	0.658124663	1990	6025
Inyo	18281	0.810623051	0.003883814	0.091078169	0.009408676	0.000984629	0.084021662	1990	6027
Kern	543477	0.627242735	0.053085963	0.010340824	0.027377424	0.002281605	0.279671449	1990	6029
Kings	101469	0.536380569	0.076348441	0.00891898	0.033586613	0.004257458	0.340507938	1990	6031
Lake	50631	0.880942506	0.018249689	0.019711244	0.008512571	0.000829531	0.071754459	1990	6033
Lassen	27598	0.794260454	0.061562432	0.028625263	0.010616711	0.000471049	0.104464092	1990	6035
Los Angeles	8863164	0.408302272	0.105467528	0.003289909	0.102425048	0.002406251	0.378108991	1990	6037
Madera	88090	0.601362243	0.026041548	0.013225111	0.012305597	0.001963901	0.345101601	1990	6039
Marin	230096	0.846016445	0.032721125	0.002872714	0.039392254	0.001073465	0.077923997	1990	6041
Mariposa	14302	0.892952035	0.008390435	0.041462732	0.007900993	0.000559362	0.048734443	1990	6043
Mendocino	80345	0.843549692	0.005999129	0.036094343	0.010778518	0.000921028	0.10265729	1990	6045
Merced	178403	0.542036849	0.044220108	0.006362001	0.079084993	0.002589643	0.325706406	1990	6047
Modoc	9678	0.876110767	0.008059516	0.039057657	0.00361645	0.00072329	0.072432321	1990	6049
Mono	9956	0.836580956	0.00411812	0.034250703	0.011450382	0.00050221	0.11309763	1990	6051
Monterey	355660	0.523438115	0.060467863	0.005971996	0.071318113	0.002612045	0.336191869	1990	6053
Napa	110765	0.807592651	0.010535819	0.00620232	0.030614364	0.001137543	0.143917302	1990	6055
Nevada	78510	0.938695708	0.002190804	0.009400076	0.007833397	0.000242007	0.041638008	1990	6057
Orange	2410556	0.644872386	0.0162448	0.003561004	0.099875713	0.001131689	0.234314407	1990	6059
Placer	172796	0.883128082	0.005711938	0.009305771	0.021036367	0.000543994	0.080273849	1990	6061
Plumas	19739	0.911697654	0.00764983	0.028420893	0.005674046	0.000607934	0.045949643	1990	6063
Riverside	1170413	0.644336657	0.051234906	0.007170973	0.032765357	0.001752373	0.262739734	1990	6065
Sacramento	1041219	0.693352695	0.090249986	0.009463907	0.088483787	0.001717218	0.116732407	1990	6067
San Benito	36697	0.512112707	0.004550781	0.005722539	0.01779437	0.002016514	0.45780309	1990	6069
San Bernardino	1418380	0.607815254	0.07696245	0.007062987	0.039049479	0.002198283	0.266911547	1990	6071
San Diego	2498016	0.653831281	0.060006821	0.006024781	0.074116419	0.001546027	0.204474671	1990	6073
San Francisco	723959	0.465658967	0.105452104	0.003639709	0.284112774	0.002016689	0.139119757	1990	6075
San Joaquin	480628	0.588326107	0.051580432	0.007920887	0.116044009	0.001699859	0.234428706	1990	6077
San Luis Obispo	217162	0.811587663	0.019916007	0.007607224	0.026588445	0.001114375	0.133186285	1990	6079
San Mateo	649623	0.603628566	0.052338048	0.003615943	0.162492707	0.001473162	0.176451573	1990	6081
Santa Barbara	369608	0.660994892	0.025375533	0.00575204	0.040718816	0.001474535	0.265684184	1990	6083
Santa Clara	1497577	0.580854273	0.035112051	0.004469887	0.167935271	0.001579885	0.210048632	1990	6085
Santa Cruz	229734	0.745222736	0.010142164	0.005702247	0.033473495	0.001758556	0.203700802	1990	6087
Shasta	147036	0.911348241	0.007107103	0.024796648	0.017750755	0.000557687	0.038439566	1990	6089
Sierra	3318	0.922242315	0.001808318	0.017781796	0.002411091	0.000301386	0.055455093	1990	6091
Siskiyou	43531	0.878592268	0.015666996	0.038708047	0.008063219	0.000413498	0.058555972	1990	6093
Solano	340421	0.609468864	0.12883459	0.007252784	0.118952709	0.001783086	0.133707967	1990	6095
Sonoma	388222	0.843406608	0.013569556	0.009435323	0.026361206	0.001043218	0.106184091	1990	6097
Stanislaus	370522	0.705283357	0.01648755	0.009375961	0.04897415	0.001546467	0.218332515	1990	6099
Sutter	64415	0.716292789	0.015322518	0.0128231	0.089233874	0.001893969	0.16443375	1990	6101
Tehama	49625	0.867486146	0.004957179	0.017108312	0.006549118	0.000644836	0.103254408	1990	6103
Trinity	13063	0.909515425	0.004057261	0.045471944	0.007578657	0.00038276	0.032993952	1990	6105
Tulare	311921	0.545917075	0.013801572	0.010348774	0.039971659	0.002385219	0.3875757	1990	6107
Tuolumne	48456	0.864433713	0.0315544	0.018078257	0.007470695	0.001568433	0.076894502	1990	6109
Ventura	669016	0.658511904	0.021761811	0.005126933	0.048825439	0.001277996	0.264495916	1990	6111
Yolo	141092	0.686254359	0.021085533	0.009660363	0.081188161	0.002069572	0.199742012	1990	6113
Yuba	58228	0.73717112	0.040204026	0.026276018	0.079429141	0.001373909	0.115545786	1990	6115
Alameda	1105379	0.610956061	0.181792851	0	0.078888779	0.010789964	0.117572344	1980	6001
Alpine	1097	0.821330902	0.002734731	0	0.1349134	0.002734731	0.038286235	1980	6003
Amador	19314	0.922646785	0.007818163	0	0.018949984	0.003106555	0.047478513	1980	6005
Butte	143851	0.907341624	0.011720461	0	0.022127062	0.006381603	0.05242925	1980	6007
Calaveras	20710	0.930516659	0.003476581	0	0.016900048	0.0051183	0.043988411	1980	6009
Colusa	12791	0.754436713	0.005394418	0	0.031428348	0.013837855	0.194902666	1980	6011
Contra Costa	656380	0.767814376	0.090645663	0	0.048970109	0.007527652	0.085042201	1980	6013
Del Norte	18217	0.863424274	0.002854477	0	0.073392985	0.004446396	0.055881869	1980	6015
El Dorado	85812	0.928681303	0.003367827	0	0.018214236	0.003461054	0.046275579	1980	6017
Fresno	514621	0.615783266	0.047718612	0	0.034450596	0.009035776	0.29301175	1980	6019
Glenn	21350	0.850070258	0.002529274	0	0.021451991	0.00735363	0.118594848	1980	6021
Humboldt	108514	0.896041064	0.004884162	0	0.058904842	0.005741195	0.034428737	1980	6023
Imperial	92110	0.384442514	0.023754207	0	0.02771686	0.00623168	0.557854739	1980	6025
Inyo	17895	0.849063984	0.001229394	0	0.087063426	0.002067617	0.06057558	1980	6027
Kern	403089	0.697443989	0.05154941	0	0.029321068	0.005787804	0.21589773	1980	6029
Kings	73738	0.640253329	0.047519596	0	0.03521929	0.008123356	0.268884429	1980	6031
Lake	36366	0.909393389	0.009569378	0	0.025298356	0.003987241	0.051751636	1980	6033
Lassen	21661	0.86330271	0.034670606	0	0.030561839	0.006047736	0.065417109	1980	6035
Los Angeles	7477503	0.528733054	0.123886276	0	0.060479013	0.01059244	0.276309217	1980	6037
Madera	63116	0.667596172	0.032828443	0	0.024336143	0.007224792	0.26801445	1980	6039
Marin	222568	0.897141548	0.024149923	0	0.02640092	0.010953956	0.041353654	1980	6041
Mariposa	11108	0.909164566	0.006301764	0	0.034209579	0.004951386	0.045372704	1980	6043
Mendocino	66738	0.895142198	0.005004645	0	0.040187	0.004405286	0.055260871	1980	6045
Merced	134560	0.661459572	0.049182521	0	0.026129608	0.010151605	0.253076694	1980	6047
Modoc	8610	0.912195122	0.001626016	0	0.041811847	0.003019744	0.041347271	1980	6049
Mono	8577	0.90486184	0.001865454	0	0.042905445	0.003147954	0.047219307	1980	6051
Monterey	290444	0.597209789	0.063437358	0	0.069610665	0.011072702	0.258669485	1980	6053
Napa	99199	0.870704342	0.008729927	0	0.026179699	0.007328703	0.087057329	1980	6055
Nevada	51645	0.95333527	0.001394133	0	0.013205538	0.002401007	0.029664053	1980	6057
Orange	1932709	0.781647936	0.012630458	0	0.048648296	0.008919087	0.148154223	1980	6059
Placer	117247	0.899622165	0.003292195	0	0.022729793	0.004324204	0.070031643	1980	6061
Plumas	17340	0.9227797	0.009400231	0	0.028431373	0.002710496	0.036678201	1980	6063
Riverside	663166	0.739096998	0.045370239	0	0.021240534	0.006681585	0.187610643	1980	6065
Sacramento	783381	0.765693832	0.073888695	0	0.05706674	0.008708406	0.094642326	1980	6067
San Benito	25005	0.511657668	0.002359528	0	0.022555489	0.006318736	0.457108578	1980	6069
San Bernardino	895016	0.729934437	0.052082868	0	0.024358224	0.008305997	0.185318475	1980	6071
San Diego	1861846	0.738325834	0.054872959	0	0.049873083	0.009130186	0.147797938	1980	6073
San Francisco	678974	0.523084831	0.124978276	0	0.21423648	0.014907787	0.122792625	1980	6075
San Joaquin	347342	0.682995434	0.053100402	0	0.060197154	0.012065918	0.191641091	1980	6077
San Luis Obispo	155435	0.854434329	0.017042494	0	0.027406955	0.005951041	0.095165182	1980	6079
San Mateo	587329	0.708264022	0.059132105	0	0.092958121	0.014777067	0.124868685	1980	6081
Santa Barbara	298694	0.747912579	0.025290096	0	0.031835256	0.009635279	0.185326789	1980	6083
Santa Clara	1295071	0.705099566	0.032613656	0	0.07800499	0.009302193	0.174979596	1980	6085
Santa Cruz	188141	0.806389888	0.007419967	0	0.030998028	0.008238502	0.146953615	1980	6087
Shasta	115715	0.935851013	0.006196258	0	0.025130709	0.002964179	0.02985784	1980	6089
Sierra	3073	0.917995444	0.000976245	0	0.014643671	0.002603319	0.063781321	1980	6091
Siskiyou	39732	0.894543441	0.015000503	0	0.039816772	0.003045404	0.047593879	1980	6093
Solano	235203	0.694595732	0.116376067	0	0.071406402	0.012295762	0.105326038	1980	6095
Sonoma	299681	0.888294553	0.011245291	0	0.024342551	0.006630384	0.069487221	1980	6097
Stanislaus	265900	0.801673561	0.011414065	0	0.024968033	0.011929297	0.150015043	1980	6099
Sutter	52246	0.784155725	0.010565402	0	0.077154232	0.011407572	0.116717069	1980	6101
Tehama	38888	0.922521086	0.001491463	0	0.01836042	0.002931496	0.054695536	1980	6103
Trinity	11858	0.927812447	0.001096306	0	0.040057345	0.004132231	0.02690167	1980	6105
Tulare	245738	0.651083674	0.014031204	0	0.0278508	0.008757294	0.298277027	1980	6107
Tuolumne	33928	0.912078519	0.010993869	0	0.020985617	0.003448479	0.052493516	1980	6109
Ventura	529174	0.723890441	0.020469638	0	0.03535888	0.006377864	0.213903177	1980	6111
Yolo	113374	0.75144213	0.016635207	0	0.047480022	0.013839152	0.170603489	1980	6113
Yuba	49733	0.811654234	0.04409547	0	0.046709428	0.009731969	0.0878089	1980	6115
Alameda	1608204	0.299121755	0.116636797	0.00261354	0.278316474	0.052863689	0.250447746	2020	6001
Alpine	1172	0.710787773	0	0.189210358	5.38E-05	0.015515492	0.084432569	2020	6003
Amador	39352	0.743994061	0.024910447	0.014523258	0.020882316	0.029850303	0.165839615	2020	6005
Butte	241521	0.711422728	0.013327113	0.014884829	0.049941238	0.038399341	0.17202475	2020	6007
Calaveras	48312	0.788763822	0.00847441	0.011286239	0.011517222	0.037204668	0.142753639	2020	6009
Colusa	24886	0.380283104	0.008846642	0.014557786	0.011690234	0.014904962	0.569717272	2020	6011
Contra Costa	1147399	0.450047052	0.081831843	0.002825364	0.149299421	0.046096534	0.269899786	2020	6013
Del Norte	29635	0.6099107	0.045545274	0.070167577	0.035103831	0.041904185	0.197368433	2020	6015
El Dorado	203095	0.759899047	0.006340173	0.008172639	0.044309492	0.029393971	0.151884677	2020	6017
Fresno	1071728	0.295347636	0.047227307	0.006370247	0.095355429	0.019819468	0.535879913	2020	6019
Glenn	30780	0.515632563	0.007028382	0.01639732	0.024645314	0.019833814	0.416462608	2020	6021
Humboldt	139132	0.735141149	0.011023703	0.054726277	0.030672087	0.048306908	0.120129876	2020	6023
Imperial	222920	0.16056876	0.028712919	0.00835068	0.010360938	0.006553565	0.785453137	2020	6025
Inyo	19350	0.631540358	0.005828252	0.099046456	0.018200954	0.023628536	0.221755444	2020	6027
Kern	1057440	0.358628665	0.054115008	0.00613871	0.039539156	0.01846148	0.52311698	2020	6029
Kings	176647	0.347031207	0.074364528	0.008398099	0.032205065	0.025435806	0.512565295	2020	6031
Lake	71228	0.69804563	0.016668685	0.023838062	0.017690598	0.038479445	0.20527758	2020	6033
Lassen	35934	0.648925449	0.087387443	0.027920393	0.012463894	0.035746422	0.187556399	2020	6035
Los Angeles	10441441	0.243026056	0.074495472	0.001980286	0.142026985	0.024980857	0.513490344	2020	6037
Madera	185056	0.341705206	0.026960189	0.010578752	0.018932564	0.017042369	0.584780921	2020	6039
Marin	251361	0.682150991	0.02899873	0.002129796	0.060996086	0.036510966	0.189213431	2020	6041
Mariposa	20463	0.772115612	0.005594677	0.022673742	0.028500491	0.032091792	0.139023686	2020	6043
Mendocino	91498	0.639278077	0.00686659	0.041548864	0.021561537	0.030833418	0.259911515	2020	6045
Merced	301376	0.318059418	0.028473146	0.003831857	0.064133411	0.018695437	0.566806731	2020	6047
Modoc	9965	0.762848596	0.006345725	0.0281622	0.01075419	0.026352614	0.165536675	2020	6049
Mono	15037	0.644707952	0.002764915	0.013918741	0.012283474	0.019505229	0.30681969	2020	6051
Monterey	436107	0.25259663	0.023493933	0.003172157	0.055983963	0.030785005	0.633968313	2020	6053
Napa	145660	0.501237679	0.017792557	0.003789177	0.077090695	0.025349587	0.374740304	2020	6055
Nevada	104343	0.810911563	0.003512785	0.007768111	0.028049414	0.029138614	0.120619513	2020	6057
Orange	3198279	0.39135911	0.015787526	0.001988881	0.18902458	0.030482889	0.371357014	2020	6059
Placer	391682	0.70404233	0.011649696	0.005399352	0.078269826	0.035571626	0.16506717	2020	6061
Plumas	20731	0.790162787	0.008794131	0.022945178	0.018606034	0.031253354	0.128238516	2020	6063
Riverside	2593211	0.367323277	0.061419856	0.004807383	0.068113881	0.025463457	0.472872147	2020	6065
Sacramento	1543522	0.456137379	0.10027695	0.005409545	0.145867127	0.06147204	0.230836959	2020	6067
San Benito	60278	0.282901342	0.010088391	0.003787919	0.034404911	0.017869784	0.650947654	2020	6069
San Bernardino	2273017	0.323874487	0.088390688	0.004120411	0.052878395	0.025848062	0.504887957	2020	6071
San Diego	3333995	0.44593079	0.044041082	0.00455129	0.112285085	0.040072899	0.353118854	2020	6073
San Francisco	852788	0.412656384	0.051028434	0.002277377	0.328069049	0.04189878	0.164069976	2020	6075
San Joaquin	810845	0.326222005	0.075688896	0.004422059	0.151685869	0.036127414	0.405853756	2020	6077
San Luis Obispo	287744	0.66000364	0.018714891	0.004792206	0.038221767	0.026361632	0.251905864	2020	6079
San Mateo	747563	0.364793178	0.029320932	0.001678557	0.266908075	0.056109383	0.281189874	2020	6081
Santa Barbara	449505	0.4181864	0.019231178	0.00397949	0.051844315	0.024991307	0.481767311	2020	6083
Santa Clara	1889898	0.305336555	0.025047567	0.002468872	0.336362992	0.03961938	0.291164635	2020	6085
Santa Cruz	275704	0.530040837	0.009492556	0.003597161	0.048409207	0.035589033	0.372871207	2020	6087
Shasta	199814	0.773842481	0.008382888	0.022924338	0.040635433	0.037538694	0.116676165	2020	6089
Sierra	3034	0.871344764	0.001068969	0.011578806	2.05E-05	0.01999376	0.095993231	2020	6091
Siskiyou	46369	0.746364537	0.010779242	0.035163749	0.017992945	0.058695699	0.131003828	2020	6093
Solano	447217	0.39440549	0.12911857	0.004235107	0.146533972	0.067141836	0.258565025	2020	6095
